time,open,high,low,close,Volume,Volume MA
1618108200,60357.74,60380,60302.94,60324.34,77.57669499999969,138.89607335000056
1618108500,60324.33,60346.1,60262.53,60342.54,76.03342299999974,136.17649150000057
1618108800,60342.53,60416.09,60339.33,60410.78,72.28273399999975,127.92337020000052
1618109100,60410.78,60449.71,60290.22,60305.86,86.73537199999977,126.20082675000049
1618109400,60305.87,60449.9,60286.99,60449.89,92.616648,125.65930200000048
1618109700,60449.89,60550.54,60359.57,60509.7,149.46257899999992,124.6404977000005
1618110000,60509.7,60661.8,60450.07,60653.08,190.5778119999999,127.36580440000046
1618110300,60653.07,60699,60509.17,60515.03,131.04467600000035,126.88307575000047
1618110600,60515.03,60515.03,60363.64,60368.65,118.18428499999973,125.79291960000046
1618110900,60368.65,60477.4,60363.63,60422.69,103.52125099999974,125.24265420000043
1618111200,60422.68,60427.5,60291.99,60325.98,118.0174729999997,125.00159180000041
1618111500,60325.98,60347.3,60211.76,60232.66,155.39877900000013,126.52019195000041
1618111800,60232.65,60299.4,60202.69,60280.06,106.41917399999986,120.9331789000004
1618112100,60280.06,60344.58,60280,60338.33,94.82464899999995,111.41085440000033
1618112400,60338.32,60413.8,60334.16,60413.79,68.53877700000018,107.67841420000036
1618112700,60413.79,60448.31,60330.17,60330.17,105.46786999999986,107.42148245000035
1618113000,60330.18,60347.74,60280.44,60299.43,119.07386799999948,109.13219735000033
1618113300,60299.42,60319.41,60226.07,60268.58,130.20231399999932,109.00723895000029
1618113600,60268.58,60328,60097.44,60155.64,213.16724599999947,114.77892020000027
1618113900,60155.65,60200,60047.68,60051.69,200.30873000000014,120.47271775000027
1618114200,60051.69,60216.87,60042.22,60190.83,103.92196900000009,121.78998145000028
1618114500,60190.83,60247.77,60051.82,60236.66,155.40659800000003,125.75864020000029
1618114800,60236.66,60275.38,60140.24,60140.24,98.6042940000002,127.0747182000003
1618115100,60140.25,60154.36,60081.72,60083.53,92.98723400000017,127.38731130000033
1618115400,60083.53,60179.98,60075.71,60165.21,93.99273199999999,127.45611550000032
1618115700,60160.99,60221.95,60089.22,60145.78,108.91256200000015,125.42861465000033
1618116000,60145.78,60150,59818,59818.01,244.1900719999999,128.10922765000032
1618116300,59818.01,59964.41,59777.77,59894.8,194.09898900000053,131.26194330000033
1618116600,59894.8,60025,59888.94,59993.08,92.71666500000008,129.98856230000032
1618116900,59993.07,60018.87,59900,59906.6,99.19370299999989,129.77218490000035
1618117200,59906.59,60009.47,59865.36,59969.32,142.99566599999986,131.02109455000033
1618117500,59969.32,60012.05,59950,59984.2,202.0846849999989,133.35538985000028
1618117800,59984.2,59988.72,59681.19,59692.25,219.9234279999986,139.03060255000022
1618118100,59692.25,59802.68,59623,59755.07,237.22260300000053,146.15050025000025
1618118400,59755.08,59869.41,59751.75,59815.16,124.56821800000029,148.95197230000025
1618118700,59805.15,59897.41,59649.99,59698.94,438.313970999998,165.59427735000017
1618119000,59698.94,59811.49,59600,59614.95,225.09898799999965,170.8955333500002
1618119300,59614.95,59700.47,59535.52,59640.11,300.17855699999814,179.39434550000016
1618119600,59640.11,59813.48,59640.11,59770.36,191.87673899999942,178.32982015000013
1618119900,59770.37,59915.43,59762.42,59781.22,191.89112699999944,177.9089400000001
1618120200,59788.85,59830.82,59707.85,59739.04,164.6531959999992,180.94550135000006
